Name: 音乐小石榴, URL: http://hy.tzk.cc.cd/?id=17091681, IPv_Type: ipv6, Location: 美国, ISP: CloudFlare Inc., Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 音乐小石榴, URL: https://live.ottiptv.cc/huya/17091681, IPv_Type: ipv6, Location: 英国, ISP: , Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 音乐小石榴, URL: http://shorturl.jxpan.vip:880/r/baoshi_aio/huya/17091681, IPv_Type: ipv4, Location: 中国-河北-石家庄, ISP: 联通, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 音乐小石榴, URL: http://live.chinacert.cftest5.cn/huya/17091681, IPv_Type: ipv6, Location: 中国, ISP: 中国电信, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 秋月剪水, URL: https://douyu.tzk.cc.cd/?id=9588891, IPv_Type: ipv6, Location: 美国, ISP: CloudFlare Inc., Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 秋月剪水, URL: http://live.nctv.top/douyu1.php?id=9588891, IPv_Type: ipv4, Location: 中国-浙江-杭州, ISP: 阿里云, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 秋月剪水, URL: http://iptv77.iptv66.eu.org:35455/douyu/9588891, IPv_Type: ipv4, Location: 中国-内蒙古, ISP: 电信, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 喵喵音乐台, URL: https://douyu.tzk.cc.cd/?id=9568091, IPv_Type: ipv6, Location: 美国, ISP: CloudFlare Inc., Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 喵喵音乐台, URL: http://live.nctv.top/douyu1.php?id=9568091, IPv_Type: ipv4, Location: 中国-浙江-杭州, ISP: 阿里云, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 喵喵音乐台, URL: http://iptv77.iptv66.eu.org:35455/douyu/9568091, IPv_Type: ipv4, Location: 中国-内蒙古, ISP: 电信, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 阿7点歌台, URL: https://douyu.tzk.cc.cd/?id=3186217, IPv_Type: ipv6, Location: 美国, ISP: CloudFlare Inc., Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 阿7点歌台, URL: http://live.nctv.top/douyu1.php?id=3186217, IPv_Type: ipv4, Location: 中国-浙江-杭州, ISP: 阿里云, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 阿7点歌台, URL: http://iptv77.iptv66.eu.org:35455/douyu/3186217, IPv_Type: ipv4, Location: 中国-内蒙古, ISP: 电信, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 音悦喵点歌台, URL: https://douyu.tzk.cc.cd/?id=3870925, IPv_Type: ipv6, Location: 美国, ISP: CloudFlare Inc., Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 音悦喵点歌台, URL: http://live.nctv.top/douyu1.php?id=3870925, IPv_Type: ipv4, Location: 中国-浙江-杭州, ISP: 阿里云, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 音悦喵点歌台, URL: http://iptv77.iptv66.eu.org:35455/douyu/3870925, IPv_Type: ipv4, Location: 中国-内蒙古, ISP: 电信, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 下饭音乐, URL: https://douyu.tzk.cc.cd/?id=8661966, IPv_Type: ipv6, Location: 美国, ISP: CloudFlare Inc., Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 下饭音乐, URL: http://live.nctv.top/douyu1.php?id=8661966, IPv_Type: ipv4, Location: 中国-浙江-杭州, ISP: 阿里云, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 下饭音乐, URL: http://iptv77.iptv66.eu.org:35455/douyu/8661966, IPv_Type: ipv4, Location: 中国-内蒙古, ISP: 电信, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 音乐台长, URL: https://douyu.tzk.cc.cd/?id=9629943, IPv_Type: ipv6, Location: 美国, ISP: CloudFlare Inc., Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 音乐台长, URL: http://live.nctv.top/douyu1.php?id=9629943, IPv_Type: ipv4, Location: 中国-浙江-杭州, ISP: 阿里云, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 音乐台长, URL: http://iptv77.iptv66.eu.org:35455/douyu/9629943, IPv_Type: ipv4, Location: 中国-内蒙古, ISP: 电信, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 音乐Wu哥, URL: https://douyu.tzk.cc.cd/?id=8667755, IPv_Type: ipv6, Location: 美国, ISP: CloudFlare Inc., Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 音乐Wu哥, URL: http://live.nctv.top/douyu1.php?id=8667755, IPv_Type: ipv4, Location: 中国-浙江-杭州, ISP: 阿里云, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 音乐Wu哥, URL: http://iptv77.iptv66.eu.org:35455/douyu/8667755, IPv_Type: ipv4, Location: 中国-内蒙古, ISP: 电信, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 音乐快斗, URL: https://douyu.tzk.cc.cd/?id=8324627, IPv_Type: ipv6, Location: 美国, ISP: CloudFlare Inc., Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 音乐快斗, URL: http://live.nctv.top/douyu1.php?id=8324627, IPv_Type: ipv4, Location: 中国-浙江-杭州, ISP: 阿里云, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 音乐快斗, URL: http://iptv77.iptv66.eu.org:35455/douyu/8324627, IPv_Type: ipv4, Location: 中国-内蒙古, ISP: 电信, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 音乐猛抬头, URL: https://douyu.tzk.cc.cd/?id=8666105, IPv_Type: ipv6, Location: 美国, ISP: CloudFlare Inc., Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 音乐猛抬头, URL: http://live.nctv.top/douyu1.php?id=8666105, IPv_Type: ipv4, Location: 中国-浙江-杭州, ISP: 阿里云, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 音乐猛抬头, URL: http://iptv77.iptv66.eu.org:35455/douyu/8666105, IPv_Type: ipv4, Location: 中国-内蒙古, ISP: 电信, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 黑糖音乐秀, URL: https://douyu.tzk.cc.cd/?id=9560563, IPv_Type: ipv6, Location: 美国, ISP: CloudFlare Inc., Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 黑糖音乐秀, URL: http://live.nctv.top/douyu1.php?id=9560563, IPv_Type: ipv4, Location: 中国-浙江-杭州, ISP: 阿里云, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 黑糖音乐秀, URL: http://iptv77.iptv66.eu.org:35455/douyu/9560563, IPv_Type: ipv4, Location: 中国-内蒙古, ISP: 电信, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 荒草音乐, URL: https://douyu.tzk.cc.cd/?id=8706465, IPv_Type: ipv6, Location: 美国, ISP: CloudFlare Inc., Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 荒草音乐, URL: http://live.nctv.top/douyu1.php?id=8706465, IPv_Type: ipv4, Location: 中国-浙江-杭州, ISP: 阿里云, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 荒草音乐, URL: http://iptv77.iptv66.eu.org:35455/douyu/8706465, IPv_Type: ipv4, Location: 中国-内蒙古, ISP: 电信, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 音乐Fans小琼, URL: https://douyu.tzk.cc.cd/?id=8666210, IPv_Type: ipv6, Location: 美国, ISP: CloudFlare Inc., Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 音乐Fans小琼, URL: http://live.nctv.top/douyu1.php?id=8666210, IPv_Type: ipv4, Location: 中国-浙江-杭州, ISP: 阿里云, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
